BugStationID,Latitude,Longitude,Year,Med_IBI_Score,Med_IBI_Threshold,Index_Nar,DistCat_Tt,Med_TotTaxSc,Med_PlecTaxSc,Med_ChirPctSc,Med_NonInsPctSc,Med_ClingPctSc,Med_IntolPctSc,Med_TolerTaxSc,Med_NOx_mgL,Med_TP_mgL,Med_TKN_mgL,Med_NO3_mgL,Med_TN_mgL,Med_NO2_mgL,Med_Chla_uncorr,Med_NH3_mgL,Med_PO4_mgL
31-NMB,43.6297499,-71.22866066,2018,84.92656414,65.44,Above_Threshold,Non-Ref,88.09703504,95.27736225,83.81201044,99.47780679,80.31618633,63.12979692,84.37575117,,,,1,,,,,
97C-154,43.415351,-72.180365,2010,78.22056968,64.5,Above_Threshold,Non-Ref,79.06976744,45.45454545,95.98108747,99.05437352,95.96209497,48.15115112,83.87096774,0.055,0.013,0.29,0.0545,,0.005,,,
97C-155,43.362297,-72.22485,2010,70.21015881,64.5,Above_Threshold,Non-Ref,47.81895794,50.65363259,88.41698842,99.61389961,92.64776707,19.78701059,92.53285544,0.41,0.05,0.39,0.36,,0.005,,,
97C-156,43.589239,-72.078419,2008,60.47817455,64.5,Below_Threshold,Non-Ref,69.96054035,50.63628115,51.07252298,99.18283963,45.13385752,36.10646171,71.25471848,0.003,0.0099,0.31,,,,,,
98C-36,44.41191,-71.49783,2006,67.64470509,64.5,Above_Threshold,Ref,65.52863239,52.36275142,76.09271523,99.00662252,77.14601739,36.63704954,66.73914712,,0.014,,,,,,,
98S-60,43.786066,-71.207522,2008,75.37428483,68.1,Above_Threshold,Ref,73.56142589,94.42350004,68.57825568,99.52210275,64.5363361,53.22180304,73.77657031,0.003,4.00E-04,0.1,,,,,,
99C-35,43.5319,-72.1425,2008,56.5845846,68.25,Below_Threshold,Non-Ref,65.41939835,74.73021206,37.58300133,98.27357238,35.09569895,14.65884164,70.33136747,0.003,0.0076,0.27,,,,,,0.0047
99C-52,43.151889,-72.350117,2006,31.35051433,62.74,Below_Threshold,Non-Ref,33.83131496,17.61804087,15.2,96,9.302325581,3.153745072,44.34817382,0.1,0.012,,0.1,,,,,
99M-44,43.14529,-71.355229,2008,70.03558425,59.44,Above_Threshold,Non-Ref,88.56031188,85.24743898,64.02985075,97.76119403,56.48291313,42.5598682,55.6075128,0.003,0.017,0.415,,,,,,
CB-01,43.77418611,-71.79248056,2013,72.39801127,64.5,Above_Threshold,Ref,74.41860465,113.6363636,55.93220339,99.71751412,48.67357055,44.17321841,83.87096774,1,0.01,,,,,,0.5,
FW08NH057,43.818793,-71.195239,2009,55.02362931,65.5,Below_Threshold,Non-Ref,69.49282099,25.87074875,58.42173112,96.78084715,49.99046095,46.1639357,38.44486051,0.078,0.009,0.09,,,,,0.011,
FW08NH099,43.145146,-71.186063,2009,48.99271556,59,Below_Threshold,Ref,67.41065906,7.331378299,88.2258567,91.58566978,24.77722234,9.751065371,53.86715738,0.0675,0.031,0.4,,,,,,
FW08NH104,44.393192,-71.21993,2009,66.43341677,68.25,Below_Threshold,Non-Ref,83.8413189,37.90675605,82.64069264,97.72943723,56.11918033,28.76427121,78.03226104,0.071,0.0063,0.09,,,,,0.011,
FW08NH137,43.559497,-71.869015,2009,57.27501283,64.5,Below_Threshold,Non-Ref,88.37209302,68.18181818,45.57377049,94.26229508,33.96527224,18.95693759,51.61290323,0.003,0.025,0.41,,,,,0.011,
FW08NH140,42.948549,-72.431389,2009,68.10379516,61.75,Above_Threshold,Non-Ref,100.3761685,36.16691852,79.09213906,89.8155155,59.16515309,44.8257996,75.82845357,0.1005,0.015,0.09,,,,,,
FW08NH142,43.23822,-71.07663,2009,56.56148828,59,Below_Threshold,Non-Ref,81.05902579,47.21178601,63.90134529,99.32735426,46.92877255,19.15110517,38.35102889,0.005,0.026,0.25,,,,,,
FW08NH143,43.705617,-71.877744,2009,56.39781198,64.5,Below_Threshold,Ref,68.42124309,68.18060557,26.8683274,99.64412811,19.93785409,27.35677443,84.37575117,0.005,0.0197,0.28,,,,,0.011,
FW08NH147,43.732898,-71.365847,2009,75.37989564,66.44,Above_Threshold,Non-Ref,90.55068655,60.77007953,84.0251252,94.93110375,58.92495166,60.65301922,79.63294046,0.003,0.015,0.09,,,,,0.011,
FW08NH149,44.958779,-71.149287,2009,85.9813506,72,Above_Threshold,Ref,91.25233112,129.9693164,86.00347021,99.1324465,58.50942203,81.24526418,85.72652013,0.0945,0.0165,0.09,0.06,,0.004,,0.011,
FW08NH151,44.094891,-71.203852,2009,77.39517976,63.9,Above_Threshold,Ref,90.50285245,86.36443789,78.05960685,100,72.7959127,45.24634259,68.79710582,0.087,7.00E-04,0.09,,,,,0.011,
FW08NH154,43.309057,-70.913755,2009,46.65159468,59,Below_Threshold,Non-Ref,91.98580152,22.72727083,54.06593407,89.89010989,34.15189462,10.39696178,23.34319009,0.005,0.017,0.28,,,,,0.011,
FW08NH155,43.78643,-71.855296,2009,74.81364626,64.5,Above_Threshold,Non-Ref,69.76744186,90.00950506,64.93506494,99.13419913,49.42203674,66.55630834,83.87096774,0.004,0.01285,0.175,,,,,0.011,
FW08NH156,42.871713,-71.673396,2009,65.03125122,59,Above_Threshold,Non-Ref,96.10062528,53.81438425,73.01162109,94.20411536,55.71532852,42.86860397,39.50408005,0.005,0.023,0.09,,,,,,
FW08NH160,43.108655,-71.752157,2009,59.30350503,62.9,Below_Threshold,Non-Ref,59.43393543,45.43662683,60.49528302,98.3490566,41.38577526,32.23167134,77.79218674,0.003,0.015,0.09,,,,,,
FW08NH167,43.950318,-71.500649,2010,81.88950837,72,Above_Threshold,Ref,69.15074085,85.15485301,72.11538462,100,73.5214398,73.2841403,100,0.005,0.00538,0.07,0.007,,0.005,,,
FW08NH171,43.767881,-72.175775,2010,38.52206166,64.5,Below_Threshold,Ref,60.46511628,0,21.37271937,97.65421373,9.000354504,13.35752148,67.80450623,0.0785,0.018,0.19,0.0745,,0.0045,,,
FW08NH175,44.196911,-71.702122,2009,68.15461791,72,Below_Threshold,Non-Ref,77.16906521,87.89876418,55.18248175,93.79562044,43.82648416,49.0134955,70.19641414,0.11,0.005,0.09,,,,,0.011,
FW08NH179,43.693801,-71.835951,2010,66.55091572,64.5,Above_Threshold,Ref,62.24913265,32.01024328,76.42725599,99.63167587,51.97808744,43.56001481,100,0.0655,0.0105,0.07,0.0635,,0.0045,,,
FW08NH185,43.372966,-72.124968,2010,44.6289157,61.75,Below_Threshold,Non-Ref,86.72849483,0,69.56521739,85.02415459,46.68963213,24.39491099,-10.01744243,0.005,0.03,0.47,0.007,,0.005,,,
FW08NH189,42.81013,-72.310243,2010,60.45347812,63.78,Below_Threshold,Non-Ref,65.11627907,22.72727273,68.32740214,97.86476868,45.51849706,39.74915942,83.87096774,0.099,0.0077,0.07,0.099,,0.005,,,
FW08NH191,43.809556,-71.480025,2010,57.18217894,68.25,Below_Threshold,Ref,70.02548769,22.72727273,70.25440313,99.02152642,52.95755535,41.40190449,43.88710276,0.005,0.0098,0.4,0.007,,0.005,,,
